2025-06-08 15:57:54,324 - INFO - Nombre de coordonn�es uniques: 335
2025-06-08 15:58:51,189 - ERROR - HTTP 422 for coord -17.95601878837964,31.053074814348776
2025-06-08 15:58:51,192 - INFO - Coord (np.float64(-17.95601878837964), np.float64(31.053074814348776)) -> soil_type: None
2025-06-08 15:58:52,552 - ERROR - HTTP 422 for coord -17.956964288318094,31.14972681547399
2025-06-08 15:58:52,554 - INFO - Coord (np.float64(-17.956964288318094), np.float64(31.14972681547399)) -> soil_type: None
2025-06-08 15:58:53,927 - ERROR - HTTP 422 for coord -22.57421399007828,17.060868447142845
2025-06-08 15:58:53,931 - INFO - Coord (np.float64(-22.57421399007828), np.float64(17.060868447142845)) -> soil_type: None
2025-06-08 15:58:55,314 - ERROR - HTTP 422 for coord -15.40656464012264,28.178102174110613
2025-06-08 15:58:55,318 - INFO - Coord (np.float64(-15.40656464012264), np.float64(28.178102174110613)) -> soil_type: None
2025-06-08 15:58:56,650 - ERROR - HTTP 422 for coord -15.406306559310051,28.225807423582
2025-06-08 15:58:56,654 - INFO - Coord (np.float64(-15.406306559310051), np.float64(28.225807423582)) -> soil_type: None
2025-06-08 15:58:57,982 - ERROR - HTTP 422 for coord -15.405759640200223,28.321215175339365
2025-06-08 15:58:57,985 - INFO - Coord (np.float64(-15.405759640200223), np.float64(28.321215175339365)) -> soil_type: None
2025-06-08 15:58:59,396 - ERROR - HTTP 422 for coord -15.405172308351473,28.41661951094214
2025-06-08 15:58:59,399 - INFO - Coord (np.float64(-15.405172308351473), np.float64(28.41661951094214)) -> soil_type: None
2025-06-08 15:59:00,774 - ERROR - HTTP 422 for coord -15.404863140331102,28.4643196765547
2025-06-08 15:59:00,778 - INFO - Coord (np.float64(-15.404863140331102), np.float64(28.4643196765547)) -> soil_type: None
2025-06-08 15:59:02,122 - ERROR - HTTP 422 for coord -15.452844139920682,28.1783631741287
2025-06-08 15:59:02,126 - INFO - Coord (np.float64(-15.452844139920682), np.float64(28.1783631741287)) -> soil_type: None
2025-06-08 15:59:03,475 - ERROR - HTTP 422 for coord -15.452585139954436,28.22607917455847
2025-06-08 15:59:03,477 - INFO - Coord (np.float64(-15.452585139954436), np.float64(28.22607917455847)) -> soil_type: None
2025-06-08 15:59:04,838 - ERROR - HTTP 422 for coord -15.452315808196632,28.27379400987625
2025-06-08 15:59:04,839 - INFO - Coord (np.float64(-15.452315808196632), np.float64(28.27379400987625)) -> soil_type: None
2025-06-08 15:59:06,231 - ERROR - HTTP 422 for coord -15.452036559207556,28.3215079243264
2025-06-08 15:59:06,233 - INFO - Coord (np.float64(-15.452036559207556), np.float64(28.3215079243264)) -> soil_type: None
2025-06-08 15:59:07,548 - ERROR - HTTP 422 for coord -15.45174714006618,28.36922117575177
2025-06-08 15:59:07,550 - INFO - Coord (np.float64(-15.45174714006618), np.float64(28.36922117575177)) -> soil_type: None
2025-06-08 15:59:08,936 - ERROR - HTTP 422 for coord -15.451447391187406,28.416933090258137
2025-06-08 15:59:08,938 - INFO - Coord (np.float64(-15.451447391187406), np.float64(28.416933090258137)) -> soil_type: None
2025-06-08 15:59:10,330 - ERROR - HTTP 422 for coord -15.451137388984565,28.464644262493284
2025-06-08 15:59:10,334 - INFO - Coord (np.float64(-15.451137388984565), np.float64(28.464644262493284)) -> soil_type: None
2025-06-08 15:59:11,715 - ERROR - HTTP 422 for coord 0.3740014161079298,32.50230975000992
2025-06-08 15:59:11,718 - INFO - Coord (np.float64(0.3740014161079298), np.float64(32.50230975000992)) -> soil_type: None
2025-06-08 15:59:13,054 - ERROR - HTTP 422 for coord 0.3740043339020008,32.5483213327684
2025-06-08 15:59:13,055 - INFO - Coord (np.float64(0.3740043339020008), np.float64(32.5483213327684)) -> soil_type: None
2025-06-08 15:59:14,419 - ERROR - HTTP 422 for coord 0.3740065,32.594333
2025-06-08 15:59:14,423 - INFO - Coord (np.float64(0.3740065), np.float64(32.594333)) -> soil_type: None
2025-06-08 15:59:15,774 - ERROR - HTTP 422 for coord 0.3740085,32.640345
2025-06-08 15:59:15,776 - INFO - Coord (np.float64(0.3740085), np.float64(32.640345)) -> soil_type: None
2025-06-08 15:59:17,124 - ERROR - HTTP 422 for coord 0.3276835,32.5483235
2025-06-08 15:59:17,128 - INFO - Coord (np.float64(0.3276835), np.float64(32.5483235)) -> soil_type: None
2025-06-08 15:59:18,491 - ERROR - HTTP 422 for coord 0.3276855,32.59433500000001
2025-06-08 15:59:18,496 - INFO - Coord (np.float64(0.3276855), np.float64(32.59433500000001)) -> soil_type: None
2025-06-08 15:59:19,837 - ERROR - HTTP 422 for coord 0.3276872500063214,32.64034708277653
2025-06-08 15:59:19,838 - INFO - Coord (np.float64(0.3276872500063214), np.float64(32.64034708277653)) -> soil_type: None
2025-06-08 15:59:21,187 - ERROR - HTTP 422 for coord 0.2813607500063209,32.50231458277652
2025-06-08 15:59:21,189 - INFO - Coord (np.float64(0.2813607500063209), np.float64(32.50231458277652)) -> soil_type: None
2025-06-08 15:59:22,501 - ERROR - HTTP 422 for coord 0.2813645838938811,32.59433674999369
2025-06-08 15:59:22,507 - INFO - Coord (np.float64(0.2813645838938811), np.float64(32.59433674999369)) -> soil_type: None
2025-06-08 15:59:23,859 - ERROR - HTTP 422 for coord 0.2813659999999994,32.64034850000001
2025-06-08 15:59:23,860 - INFO - Coord (np.float64(0.2813659999999994), np.float64(32.64034850000001)) -> soil_type: None
2025-06-08 15:59:25,230 - ERROR - HTTP 422 for coord 0.2350403338893836,32.50231616721896
2025-06-08 15:59:25,231 - INFO - Coord (np.float64(0.2350403338893836), np.float64(32.50231616721896)) -> soil_type: None
2025-06-08 15:59:26,605 - ERROR - HTTP 422 for coord 0.2350431661106284,32.59433833278104
2025-06-08 15:59:26,609 - INFO - Coord (np.float64(0.2350431661106284), np.float64(32.59433833278104)) -> soil_type: None
2025-06-08 15:59:27,948 - ERROR - HTTP 422 for coord 0.235044583895693,32.64034974999549
2025-06-08 15:59:27,951 - INFO - Coord (np.float64(0.235044583895693), np.float64(32.64034974999549)) -> soil_type: None
2025-06-08 15:59:29,311 - ERROR - HTTP 422 for coord 6.800638083633594,-1.710934081585939
2025-06-08 15:59:29,312 - INFO - Coord (np.float64(6.800638083633594), np.float64(-1.710934081585939)) -> soil_type: None
2025-06-08 15:59:30,675 - ERROR - HTTP 422 for coord 6.800512666941058,-1.6646103310649247
2025-06-08 15:59:30,680 - INFO - Coord (np.float64(6.800512666941058), np.float64(-1.6646103310649247)) -> soil_type: None
2025-06-08 15:59:32,070 - ERROR - HTTP 422 for coord 6.8002481669707615,-1.571965330911709
2025-06-08 15:59:32,074 - INFO - Coord (np.float64(6.8002481669707615), np.float64(-1.571965330911709)) -> soil_type: None
2025-06-08 15:59:33,438 - ERROR - HTTP 422 for coord 6.800109166988222,-1.525644330821579
2025-06-08 15:59:33,442 - INFO - Coord (np.float64(6.800109166988222), np.float64(-1.525644330821579)) -> soil_type: None
2025-06-08 15:59:34,788 - ERROR - HTTP 422 for coord 6.754334083649892,-1.7110570816020687
2025-06-08 15:59:34,792 - INFO - Coord (np.float64(6.754334083649892), np.float64(-1.7110570816020687)) -> soil_type: None
2025-06-08 15:59:36,166 - ERROR - HTTP 422 for coord 6.754209416520979,-1.6647377477192282
2025-06-08 15:59:36,170 - INFO - Coord (np.float64(6.754209416520979), np.float64(-1.6647377477192282)) -> soil_type: None
2025-06-08 15:59:37,553 - ERROR - HTTP 422 for coord 6.75408016698927,-1.6184193309945307
2025-06-08 15:59:37,554 - INFO - Coord (np.float64(6.75408016698927), np.float64(-1.6184193309945307)) -> soil_type: None
2025-06-08 15:59:38,925 - ERROR - HTTP 422 for coord 6.753946583704623,-1.5721015814055594
2025-06-08 15:59:38,927 - INFO - Coord (np.float64(6.753946583704623), np.float64(-1.5721015814055594)) -> soil_type: None
2025-06-08 15:59:40,291 - ERROR - HTTP 422 for coord 6.753808583720421,-1.5257850813406435
2025-06-08 15:59:40,293 - INFO - Coord (np.float64(6.753808583720421), np.float64(-1.5257850813406435)) -> soil_type: None
2025-06-08 15:59:41,685 - ERROR - HTTP 422 for coord 6.708030083684137,-1.7111790816002164
2025-06-08 15:59:41,686 - INFO - Coord (np.float64(6.708030083684137), np.float64(-1.7111790816002164)) -> soil_type: None
2025-06-08 15:59:43,044 - ERROR - HTTP 422 for coord 6.707906083707172,-1.664864081533496
2025-06-08 15:59:43,046 - INFO - Coord (np.float64(6.707906083707172), np.float64(-1.664864081533496)) -> soil_type: None
2025-06-08 15:59:44,390 - ERROR - HTTP 422 for coord 6.707777917494186,-1.618550414361518
2025-06-08 15:59:44,394 - INFO - Coord (np.float64(6.707777917494186), np.float64(-1.618550414361518)) -> soil_type: None
2025-06-08 15:59:45,769 - ERROR - HTTP 422 for coord 6.7076453332413,-1.572236998056466
2025-06-08 15:59:45,772 - INFO - Coord (np.float64(6.7076453332413), np.float64(-1.572236998056466)) -> soil_type: None
2025-06-08 15:59:47,155 - ERROR - HTTP 422 for coord 6.707508417558065,-1.5259249141990785
2025-06-08 15:59:47,159 - INFO - Coord (np.float64(6.707508417558065), np.float64(-1.5259249141990785)) -> soil_type: None
2025-06-08 15:59:48,544 - ERROR - HTTP 422 for coord 6.661725916593511,-1.7113002478270525
2025-06-08 15:59:48,548 - INFO - Coord (np.float64(6.661725916593511), np.float64(-1.7113002478270525)) -> soil_type: None
2025-06-08 15:59:49,902 - ERROR - HTTP 422 for coord 6.661602834177887,-1.6649896648898437
2025-06-08 15:59:49,907 - INFO - Coord (np.float64(6.661602834177887), np.float64(-1.6649896648898437)) -> soil_type: None
2025-06-08 15:59:51,289 - ERROR - HTTP 422 for coord 6.661475833277773,-1.6186799981427835
2025-06-08 15:59:51,293 - INFO - Coord (np.float64(6.661475833277773), np.float64(-1.6186799981427835)) -> soil_type: None
2025-06-08 15:59:52,633 - ERROR - HTTP 422 for coord 6.661344167078985,-1.5723713309330145
2025-06-08 15:59:52,637 - INFO - Coord (np.float64(6.661344167078985), np.float64(-1.5723713309330145)) -> soil_type: None
2025-06-08 15:59:54,001 - ERROR - HTTP 422 for coord 6.661207833284221,-1.5260634980131482
2025-06-08 15:59:54,001 - INFO - Coord (np.float64(6.661207833284221), np.float64(-1.5260634980131482)) -> soil_type: None
2025-06-08 15:59:55,383 - ERROR - HTTP 422 for coord 6.61529958375778,-1.665114581547765
2025-06-08 15:59:55,386 - INFO - Coord (np.float64(6.61529958375778), np.float64(-1.665114581547765)) -> soil_type: None
2025-06-08 15:59:56,748 - ERROR - HTTP 422 for coord -25.60967993558685,32.63528274128816
2025-06-08 15:59:56,750 - INFO - Coord (np.float64(-25.60967993558685), np.float64(32.63528274128816)) -> soil_type: None
2025-06-08 15:59:58,127 - ERROR - HTTP 422 for coord -25.65591426104269,32.635142082738206
2025-06-08 15:59:58,127 - INFO - Coord (np.float64(-25.65591426104269), np.float64(32.635142082738206)) -> soil_type: None
2025-06-08 15:59:59,500 - ERROR - HTTP 422 for coord -25.70214850997407,32.635000990780824
2025-06-08 15:59:59,504 - INFO - Coord (np.float64(-25.70214850997407), np.float64(32.635000990780824)) -> soil_type: None
2025-06-08 16:00:00,824 - ERROR - HTTP 422 for coord -25.748382009349868,32.63485999078252
2025-06-08 16:00:00,826 - INFO - Coord (np.float64(-25.748382009349868), np.float64(32.63485999078252)) -> soil_type: None
2025-06-08 16:00:02,215 - ERROR - HTTP 422 for coord -25.794615259238206,32.63471858278496
2025-06-08 16:00:02,217 - INFO - Coord (np.float64(-25.794615259238206), np.float64(32.63471858278496)) -> soil_type: None
2025-06-08 16:00:03,613 - ERROR - HTTP 422 for coord -25.84071100819064,32.58348598945212
2025-06-08 16:00:03,616 - INFO - Coord (np.float64(-25.84071100819064), np.float64(32.58348598945212)) -> soil_type: None
2025-06-08 16:00:04,998 - ERROR - HTTP 422 for coord -25.840848508167827,32.63457649071746
2025-06-08 16:00:05,000 - INFO - Coord (np.float64(-25.840848508167827), np.float64(32.63457649071746)) -> soil_type: None
2025-06-08 16:00:06,380 - ERROR - HTTP 422 for coord -25.886943758112206,32.583324081559205
2025-06-08 16:00:06,382 - INFO - Coord (np.float64(-25.886943758112206), np.float64(32.583324081559205)) -> soil_type: None
2025-06-08 16:00:07,723 - ERROR - HTTP 422 for coord -25.88708150757768,32.634434490719265
2025-06-08 16:00:07,724 - INFO - Coord (np.float64(-25.88708150757768), np.float64(32.634434490719265)) -> soil_type: None
2025-06-08 16:00:09,068 - ERROR - HTTP 422 for coord -25.933176006977767,32.58316148938749
2025-06-08 16:00:09,069 - INFO - Coord (np.float64(-25.933176006977767), np.float64(32.58316148938749)) -> soil_type: None
2025-06-08 16:00:10,408 - ERROR - HTTP 422 for coord -25.93331400695531,32.63429199068838
2025-06-08 16:00:10,412 - INFO - Coord (np.float64(-25.93331400695531), np.float64(32.63429199068838)) -> soil_type: None
2025-06-08 16:00:11,734 - ERROR - HTTP 422 for coord -24.5656451992661,25.82616381414697
2025-06-08 16:00:11,735 - INFO - Coord (np.float64(-24.5656451992661), np.float64(25.82616381414697)) -> soil_type: None
2025-06-08 16:00:13,059 - ERROR - HTTP 422 for coord -24.566030371662457,25.876715475545065
2025-06-08 16:00:13,060 - INFO - Coord (np.float64(-24.566030371662457), np.float64(25.876715475545065)) -> soil_type: None
2025-06-08 16:00:14,409 - ERROR - HTTP 422 for coord -24.61187712253512,25.825732565528515
2025-06-08 16:00:14,410 - INFO - Coord (np.float64(-24.61187712253512), np.float64(25.825732565528515)) -> soil_type: None
2025-06-08 16:00:15,779 - ERROR - HTTP 422 for coord -24.61226327484061,25.87630306392309
2025-06-08 16:00:15,780 - INFO - Coord (np.float64(-24.61226327484061), np.float64(25.87630306392309)) -> soil_type: None
2025-06-08 16:00:17,155 - ERROR - HTTP 422 for coord -24.6126321224494,25.926874567761217
2025-06-08 16:00:17,156 - INFO - Coord (np.float64(-24.6126321224494), np.float64(25.926874567761217)) -> soil_type: None
2025-06-08 16:00:18,473 - ERROR - HTTP 422 for coord -24.65810869818024,25.825300314094008
2025-06-08 16:00:18,476 - INFO - Coord (np.float64(-24.65810869818024), np.float64(25.825300314094008)) -> soil_type: None
2025-06-08 16:00:19,884 - ERROR - HTTP 422 for coord -24.65849562197996,25.875889566621613
2025-06-08 16:00:19,889 - INFO - Coord (np.float64(-24.65849562197996), np.float64(25.875889566621613)) -> soil_type: None
2025-06-08 16:00:21,210 - ERROR - HTTP 422 for coord -24.65886569809817,25.92647981641888
2025-06-08 16:00:21,212 - INFO - Coord (np.float64(-24.65886569809817), np.float64(25.92647981641888)) -> soil_type: None
2025-06-08 16:00:22,588 - ERROR - HTTP 422 for coord -15.464012888946316,34.313941761224434
2025-06-08 16:00:22,589 - INFO - Coord (np.float64(-15.464012888946316), np.float64(34.313941761224434)) -> soil_type: None
2025-06-08 16:00:23,916 - ERROR - HTTP 422 for coord -15.51056830993114,34.26650633798062
2025-06-08 16:00:23,920 - INFO - Coord (np.float64(-15.51056830993114), np.float64(34.26650633798062)) -> soil_type: None
2025-06-08 16:00:25,312 - ERROR - HTTP 422 for coord -15.510289639752855,34.31423417529332
2025-06-08 16:00:25,313 - INFO - Coord (np.float64(-15.510289639752855), np.float64(34.31423417529332)) -> soil_type: None
2025-06-08 16:00:26,674 - ERROR - HTTP 422 for coord -19.611969357021703,34.73717043582545
2025-06-08 16:00:26,676 - INFO - Coord (np.float64(-19.611969357021703), np.float64(34.73717043582545)) -> soil_type: None
2025-06-08 16:00:28,023 - ERROR - HTTP 422 for coord -19.61149185707861,34.785974436516575
2025-06-08 16:00:28,025 - INFO - Coord (np.float64(-19.61149185707861), np.float64(34.785974436516575)) -> soil_type: None
2025-06-08 16:00:29,375 - ERROR - HTTP 422 for coord -19.610497278181253,34.88357818599258
2025-06-08 16:00:29,378 - INFO - Coord (np.float64(-19.610497278181253), np.float64(34.88357818599258)) -> soil_type: None
2025-06-08 16:00:30,700 - ERROR - HTTP 422 for coord -19.609980357173367,34.93237793848489
2025-06-08 16:00:30,701 - INFO - Coord (np.float64(-19.609980357173367), np.float64(34.93237793848489)) -> soil_type: None
2025-06-08 16:00:32,046 - ERROR - HTTP 422 for coord -19.658217608396047,34.73766784791013
2025-06-08 16:00:32,050 - INFO - Coord (np.float64(-19.658217608396047), np.float64(34.73766784791013)) -> soil_type: None
2025-06-08 16:00:33,390 - ERROR - HTTP 422 for coord -19.65773885674005,34.78648593653539
2025-06-08 16:00:33,391 - INFO - Coord (np.float64(-19.65773885674005), np.float64(34.78648593653539)) -> soil_type: None
2025-06-08 16:00:34,713 - ERROR - HTTP 422 for coord -19.65724685677284,34.8353024371992
2025-06-08 16:00:34,717 - INFO - Coord (np.float64(-19.65724685677284), np.float64(34.8353024371992)) -> soil_type: None
